Query,Persona,Intent,Complexity,Entities,Route,Notes
schools with strong programs for students interested in UX design,counselor,filtered_search,medium,UX Design,academic_program_info,program filter
what are match schools for a student with a 1300 SAT,counselor,advisory,llm_needed,1300 SAT,admissions_info,list building
colleges with strong interdisciplinary programs for undecided students,counselor,filtered_search,medium,"Interdisciplinary, Undecided",academic_program_info,exploration support
how do I help a student who has great ECs but average grades,counselor,advisory,llm_needed,"ECs, Grades",admissions_info,holistic advising
schools that value community service in admissions,counselor,filtered_search,medium,Community service,admissions_info,admissions values
best colleges for students interested in journalism,counselor,filtered_search,medium,Journalism,academic_program_info,program filter
what are safety schools for an Ivy-track applicant,counselor,advisory,llm_needed,Safety schools,admissions_info,list strategy
how do I advise a student with inconsistent grades,counselor,advisory,llm_needed,Inconsistent grades,admissions_info,application strategy
colleges with strong film and media production programs,counselor,filtered_search,medium,Film/Media production,academic_program_info,program filter
schools that give strong merit aid to B+ students,counselor,filtered_search,medium,"Merit aid, B+ students",financial_aid_info,aid targeting
how do I help a student who only wants to go to one school,counselor,advisory,llm_needed,Admissions,admissions_info,single option risk
universities strong for students wanting international careers,counselor,filtered_search,medium,International careers,career_services_info,global outcomes
what should a first gen student emphasize in their essay,counselor,advisory,llm_needed,"First-gen student, Essay",admissions_info,application coaching
schools with strong international student communities,counselor,filtered_search,medium,International students,campus_services_info,diversity
how many AP classes looks good in college apps,counselor,advisory,llm_needed,AP classes,admissions_info,course rigor strategy
colleges with strong programs for students interested in criminal justice reform,counselor,filtered_search,medium,Criminal justice reform,academic_program_info,policy program
schools with accelerated nursing programs,counselor,filtered_search,medium,Accelerated nursing,academic_program_info,nursing track
how do I explain early action vs early decision to a student,counselor,advisory,llm_needed,EA vs ED,admissions_info,admissions education
colleges with strong programs in data science not just cs,counselor,filtered_search,medium,Data Science,academic_program_info,program differentiation
what are good colleges for a student strong in math but weak in writing,counselor,advisory,llm_needed,Math/Writing skills,college_search,skill-based guidance
schools with strong career pipelines into healthcare,counselor,filtered_search,medium,Healthcare careers,career_services_info,career pathway
how do I help students not obsess over rankings,counselor,advisory,llm_needed,Rankings,college_search,mindset coaching
colleges that value unique talents in admissions like gaming or art,counselor,filtered_search,medium,Holistic admissions,admissions_info,holistic admissions
what schools are best for a student who wants to study abroad early,counselor,filtered_search,medium,Study abroad,academic_program_info,abroad emphasis
how to advise a student applying with a learning disability disclosure,counselor,advisory,llm_needed,Learning disability,admissions_info,sensitive advising
schools with strong support for international applicants transitioning to US,counselor,filtered_search,medium,International applicants,campus_services_info,international support
colleges that offer full tuition scholarships for valedictorians,counselor,filtered_search,medium,"Valedictorian, Scholarships",financial_aid_info,scholarship programs
